episode,return
1,-1778.173711817507
2,-1507.8531255892144
3,-1415.4211997403504
4,-1373.0594777791896
5,-1631.1599972993142
6,-1671.9034483502362
7,-1507.1610110633633
8,-1606.549736890321
9,-1472.1562573082279
10,-1624.1151665707253
11,-1042.5959314552183
12,-1387.36378866885
13,-1484.4342661227513
14,-1313.3499118479804
15,-1262.0768930311165
16,-1409.5676138373442
17,-1152.418941035714
18,-1083.720190586993
19,-1260.1227606202572
20,-1114.1959766440582
21,-1080.0595112020826
22,-1104.119516748809
23,-1184.0437475572085
24,-1390.1090673254143
25,-1117.6418841007617
26,-1169.380832095523
27,-1121.5571132144942
28,-1011.0216227090965
29,-1155.4071707961075
30,-1102.2005244022291
