episode,return
1,-1722.0510772668854
2,-1175.9392670514908
3,-992.9281449285061
4,-1166.7360256587547
5,-1610.0177664795901
6,-1689.8318294494763
7,-1599.8710305901348
8,-1781.904475637198
9,-1727.931722149567
10,-1852.4446994978598
11,-1639.2111696826032
12,-1644.9231721564636
13,-1836.0379455886907
14,-1737.5908859943188
15,-1637.7170326976136
16,-1775.2515497031136
17,-1476.9994695243745
18,-1438.807442355297
19,-1856.5543604598681
20,-1628.9055526441105
21,-1715.2316815541828
22,-1654.3598974655708
23,-1813.3317437646824
24,-1858.557711151344
25,-1765.7944087730332
26,-1826.7426970007746
27,-1725.1231215387209
28,-1581.706401308237
29,-1736.844704805289
30,-1657.8052819483132
